link,cena,kategorija,transakcija,grad,opstina,kvadratura,godinaizgradnje,stanjenekretnine,povrsinazemljista,ukupanbrojspratova,spratnost,uknjizeno,tipgrejanja,brsoba,brkupatila,parking,lift,terasa,lodja,balkon,sigurnost,id,udaljenost_od_centra
https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzna-nova-zgrada-u-mirnom-delu-vracara-beograd-ulvojvode-hrvoja-useljivo/Nk2XlFAoiDX/,2430,Stan,Prodaja,Beograd,"Vračar (Centar)",47,NULL,Novogradnja,NULL,NULL,0,0,"Centralno grejanje",2,1,0,0,0,0,1,2,8151,2.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzna-nova-zgrada-u-mirnom-delu-vracara-beograd-ulvojvode-hrvoja-useljivo/NkGwlJRNp1a/,2470,Stan,Prodaja,Beograd,"Vračar (Centar)",42,NULL,Novogradnja,NULL,NULL,0,0,"Centralno grejanje",NULL,1,0,1,0,0,1,2,8152,2.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-mlade-bosne-id1166/NkNqR1xrwFU/,2500,Stan,Prodaja,Beograd,"Južni bulevar",49,2020,Novogradnja,NULL,4,2,1,"Centralno grejanje, Klima uređaj",2,1,1,0,0,0,1,2,8263,3
https://www.nekretnine.rs/stambeni-objekti/kuce/senjak-centar-novi-kvalitetni-funkcionalni-stanovi-od-7808m2-10053m2-u-modernoj-zgradi-sa-bazenom-od-14m-parking-mestima-na-prodaju-od-investitora/102503/,2600,Stan,Prodaja,Beograd,Senjak,406,2018,Novogradnja,3.4,4,4,1,"Centralno grejanje, Klima uređaj, Podno grejanje, Ostalo",14,4,1,0,1,0,1,1,8275,3.1
https://www.nekretnine.rs/stambeni-objekti/stanovi/prodaje-se-stan-221m2-na-dorcolu/183045/,3600,Stan,Prodaja,Beograd,"Stari Grad",221,NULL,"Standardna gradnja",NULL,NULL,0,1,NULL,9,NULL,0,0,1,0,0,0,8477,0.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/11m2-djeram-garaza/Nk2F-Rfz_NA/,6500,Stan,Prodaja,Beograd,"Đeram pijaca",11,NULL,"Standardna gradnja",NULL,NULL,-2,1,NULL,NULL,NULL,1,0,0,0,0,0,8649,2.7
https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-stari-kosutnjak-pere-velimirovica-05-17m2-12000eur/Nk508sE8hRC/,12000,Stan,Prodaja,Beograd,Rakovica,17,NULL,"Standardna gradnja",NULL,4,0,0,"Centralno grejanje",1,NULL,0,0,0,0,0,0,8724,12.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/grocka-kaluderica-05-22m2-12800eur/NketI6gfkJl/,12800,Stan,Prodaja,Beograd,Kaluđerica,22,NULL,"Standardna gradnja",NULL,1,1,0,NULL,1,NULL,1,0,0,0,0,0,8728,10.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-borca-10-28m2-13000eur/NkFuBe50n6I/,13000,Stan,Prodaja,Beograd,"Borča III",28,NULL,"Standardna gradnja",NULL,NULL,0,1,NULL,1,NULL,0,0,0,0,0,0,8736,17.5
https://www.nekretnine.rs/stambeni-objekti/stanovi/10-stan-siroka-greda-id1379/Nk_Zbu4OT5x/,13500,Stan,Prodaja,Beograd,"Padinska skela",34,NULL,"Izvorno stanje",NULL,NULL,-1,0,"TA peć",1,1,1,0,0,0,0,0,8739,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/20-stan-jabucki-rit-id1350/NkBdMFNv5p0/,14500,Stan,Prodaja,Beograd,"Padinska skela",45,NULL,"Izvorno stanje",NULL,5,5,1,"TA peć",2,1,1,0,0,0,0,0,8754,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/barajevo-cara-lazara-43m2-id34438/NkUgsm9YCVM/,15000,Stan,Prodaja,Beograd,Barajevo,43,NULL,"Standardna gradnja",NULL,5,-1,1,"Centralno grejanje",1,1,0,0,0,0,0,0,8788,30.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/cara-lazara-barajevo-barajevo-id1507/NkBK3o9oZ6A/,15000,Stan,Prodaja,Beograd,Barajevo,43,NULL,"Standardna gradnja",NULL,5,-1,1,"Centralno grejanje",2,1,0,0,0,0,0,0,8789,30.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/barajevo-gaj---cara-lazara-44kvm-id15205/NkYXtcAabot/,15000,Stan,Prodaja,Beograd,Barajevo,44,NULL,"Standardna gradnja",NULL,5,-1,1,Ostalo,1,NULL,0,0,0,0,0,0,8790,30.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/barajevo-barajevo-mesto-cara-lazara-10-44m2-15000eur/NkZtqf0MBtU/,15000,Stan,Prodaja,Beograd,Barajevo,44,1992,"Izvorno stanje",NULL,5,0,1,"Centralno grejanje, Klima uređaj",1,NULL,1,0,0,0,0,0,8791,30.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/13m2-crveni-krst-garaza/NkpmUdrThDk/,15000,Stan,Prodaja,Beograd,"Crveni krst",13,NULL,"Standardna gradnja",NULL,NULL,-2,1,NULL,NULL,NULL,0,0,0,0,0,0,8792,3.2
https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-padinska-skela-jabucki-rit-10-32m2-16000eur/NkPSavORzjc/,16000,Stan,Prodaja,Beograd,"Padinska skela",32,NULL,"Standardna gradnja",NULL,NULL,0,1,NULL,1,NULL,1,0,0,0,0,0,8812,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/10-glogonjski-rit-id607/NkqNVz7ZmXp/,17000,Stan,Prodaja,Beograd,"Padinska skela",28,NULL,"Standardna gradnja",NULL,1,1,1,NULL,1,1,1,0,0,0,0,0,8827,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-slavija-smiljaniceva-05-8m2-17000-eur/Nk08EqavFqp/,17000,Stan,Prodaja,Beograd,Slavija,8,NULL,"Standardna gradnja",NULL,6,4,1,"Centralno grejanje",1,NULL,0,0,0,0,0,0,8828,0.4
https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-slavija-smiljaniceva-05-8m2-17000eur/Nkdk74YXx3M/,17000,Stan,Prodaja,Beograd,"Vračar (Centar)",8,NULL,"Izvorno stanje",NULL,6,4,1,NULL,1,NULL,0,1,0,0,0,0,8829,2.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/10-glogonjski-rit-id1346/NkPgtt3WdPx/,17500,Stan,Prodaja,Beograd,"Padinska skela",38,NULL,"Izvorno stanje",NULL,2,-1,0,"TA peć",1,1,1,0,0,0,0,0,8832,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/adaptirana-garaza-borca-id1131/NkjziGIO23w/,18000,Stan,Prodaja,Beograd,"Borča I",18,NULL,"Izvorno stanje",NULL,3,-1,0,"Centralno grejanje, Klima uređaj",1,1,0,0,0,0,0,0,8850,18.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/grocka-zabranska-25m2-id29468/NkoG2NuE2oU/,18000,Stan,Prodaja,Beograd,Leštane,25,NULL,"Standardna gradnja",NULL,4,4,1,"TA peć",1,1,0,0,0,0,0,1,8851,13.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/kanarevo-b-25m2-pr-cg/NkhGukPKYNR/,18500,Stan,Prodaja,Beograd,"Kanarevo brdo",25,NULL,"Standardna gradnja",NULL,3,-1,0,"Centralno grejanje",1,NULL,0,0,0,0,0,0,8853,7.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/20m2-banovo-brdo-1-lokal/Nks9tshSFvX/,19000,Stan,Prodaja,Beograd,"Banovo brdo",20,NULL,"Standardna gradnja",NULL,NULL,-2,0,Ostalo,1,NULL,0,0,0,0,0,0,8865,6
https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-dusanovac-miska-jovanovica-05-20m2-19000eur/NkLAoviLFZ6/,19000,Stan,Prodaja,Beograd,Voždovac,20,NULL,"Izvorno stanje",NULL,NULL,0,1,"Klima uređaj",1,NULL,0,0,1,0,0,0,8866,4.8
https://www.nekretnine.rs/stambeni-objekti/stanovi/kanarevo-brdo-id2452/NkDbFi1qVnv/,19500,Stan,Prodaja,Beograd,"Kanarevo brdo",22,NULL,"Standardna gradnja",NULL,3,-1,1,"Centralno grejanje",1,1,0,0,0,0,0,1,8871,7.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-padinska-skela-vrbovski-25-51m2-20000eur/Nk3B93vm1LX/,20000,Stan,Prodaja,Beograd,"Padinska skela",51,NULL,"Izvorno stanje",NULL,2,0,1,NULL,3,NULL,1,0,0,0,0,0,8912,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-jabucki-rit-51m2-id34491/Nkfc44aZbA0/,20000,Stan,Prodaja,Beograd,"Padinska skela",51,NULL,"Standardna gradnja",NULL,2,2,1,"Etažno grejanje na gas",2,1,0,0,0,0,0,1,8913,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-knezevac-knezevacka-05-20m2-20000eur/NkNt105ShwW/,20000,Stan,Prodaja,Beograd,Rakovica,20,NULL,"Standardna gradnja",NULL,3,0,0,Ostalo,1,NULL,0,0,0,0,0,0,8914,12.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/18m2-garaza-dedinje/Nk02y5BN4Wl/,21000,Stan,Prodaja,Beograd,"Dedinje (Beli dvor)",18,NULL,"Standardna gradnja",NULL,NULL,-1,1,NULL,NULL,NULL,0,0,0,0,0,0,8938,5.4
https://www.nekretnine.rs/stambeni-objekti/stanovi/garsonjera-na-top-lokaciji-id94675/Nkez8ho8-Dt/,22000,Stan,Prodaja,Beograd,"Mirijevo I",21,NULL,"Standardna gradnja",NULL,4,-2,1,"Centralno grejanje",1,1,0,0,0,0,0,0,8964,6
https://www.nekretnine.rs/stambeni-objekti/stanovi/20-stan-jabucki-rit-id1401/NkDWMkiBdS8/,22000,Stan,Prodaja,Beograd,"Padinska skela",51,NULL,"Izvorno stanje",NULL,2,1,0,"TA peć",2,1,1,0,0,0,0,0,8965,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-severni-bulevar-ledinacka-05-13m2-22000eur/Nk-MwbQZQIn/,22000,Stan,Prodaja,Beograd,Zvezdara,13,NULL,"Standardna gradnja",NULL,4,4,1,NULL,1,NULL,0,0,0,0,0,0,8966,7.3
https://www.nekretnine.rs/stambeni-objekti/stanovi/20-stan-padinska-skela-id1237/NkTlzvrqbY3/,22500,Stan,Prodaja,Beograd,"Padinska skela",53,1980,"Izvorno stanje",NULL,3,2,0,"TA peć",2,1,1,0,0,0,0,0,8972,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-borca-privrednikovih-pitomaca-10-25m2-23000eur/NkzdPGnC4A_/,23000,Stan,Prodaja,Beograd,"Borča III",25,NULL,"Standardna gradnja",NULL,2,1,0,NULL,1,NULL,0,0,0,0,0,0,8992,17.5
https://www.nekretnine.rs/stambeni-objekti/stanovi/mogucnost-adaptacije-u-garsonjeru/NkbL7Hm37VP/,23000,Stan,Prodaja,Beograd,"Filmski grad",20,NULL,"Standardna gradnja",NULL,NULL,-2,0,NULL,NULL,NULL,1,0,0,0,0,0,8993,9.2
https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-karaburma-visnjicka-05-17m2-23000eur/Nkuam99Xout/,23000,Stan,Prodaja,Beograd,Karaburma,17,NULL,"Izvorno stanje",NULL,1,0,0,NULL,1,NULL,0,0,0,0,0,0,8994,4.2
https://www.nekretnine.rs/stambeni-objekti/stanovi/palilula-kotez-boska-buhe-10-38m2-23000eur/NkdxMDxIMan/,23000,Stan,Prodaja,Beograd,Kotež,38,NULL,Novogradnja,NULL,2,0,0,"Etažno grejanje na gas",1,NULL,1,0,0,1,0,0,8995,20.5
https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mirijevo-rudi-cajaveca-05-22m2-23000eur/Nkt-breJDY5/,23000,Stan,Prodaja,Beograd,"Mirijevo I",22,NULL,Novogradnja,NULL,4,0,0,"Klima uređaj, Etažno grejanje na gas",1,NULL,0,1,0,0,0,0,8996,6
https://www.nekretnine.rs/stambeni-objekti/stanovi/renoviran-i-sreden-odlican-dvosoban-stan-51-m2-u-mirnom-delu-predgrada-beograda/Nkxonubvaws/,23000,Stan,Prodaja,Beograd,"Padinska skela",51,1968,NULL,NULL,3,0,1,NULL,2,1,1,0,0,0,0,0,8997,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/20-stan-besni-fok-id660/NkNXC28vUEi/,23500,Stan,Prodaja,Beograd,"Padinska skela",50,NULL,"Izvorno stanje",NULL,5,4,1,"TA peć",2,1,1,0,1,0,0,0,9002,22.9
https://www.nekretnine.rs/stambeni-objekti/stanovi/prodajemo-uknjizenu-garazu-na-lionu/NkxJ8251GDu/,23750,Stan,Prodaja,Beograd,Lion,13,NULL,"Standardna gradnja",NULL,NULL,-2,1,NULL,NULL,NULL,0,0,0,0,0,0,9003,4
https://www.nekretnine.rs/stambeni-objekti/stanovi/dorcol-12m2-vpr-ta-uknj/Nk2zJ24YVRv/,24000,Stan,Prodaja,Beograd,"Gundulićev venac",12,NULL,"Standardna gradnja",NULL,4,0,1,Ostalo,1,NULL,0,0,0,0,0,0,9012,1.3
https://www.nekretnine.rs/stambeni-objekti/stanovi/rakovica-knezevac-slavka-rodica-10-25m2-24000eur/Nkj32Y5vQ3s/,24000,Stan,Prodaja,Beograd,Rakovica,25,2003,"Izvorno stanje",NULL,NULL,0,0,NULL,1,NULL,0,0,1,0,0,0,9013,12.6
https://www.nekretnine.rs/stambeni-objekti/stanovi/15-kotez-id1252/NkYeY63JRSd/,24500,Stan,Prodaja,Beograd,Kotež,31,NULL,Novogradnja,NULL,3,2,0,"TA peć, Klima uređaj",2,1,1,0,1,0,0,1,9017,20.5
https://www.nekretnine.rs/stambeni-objekti/stanovi/1-5-kotez-id640/NkqjbiGPBrr/,24500,Stan,Prodaja,Beograd,Kotež,38,NULL,Novogradnja,NULL,2,2,0,NULL,2,1,0,0,0,0,0,1,9018,20.5
https://www.nekretnine.rs/stambeni-objekti/stanovi/banovo-brdo-blagoja-parovica-id1255/NkfLGyQnR-iX/,25000,Stan,Prodaja,Beograd,"Banovo brdo",30,NULL,"Standardna gradnja",NULL,3,-2,1,"Centralno grejanje",1,1,0,0,0,0,0,1,9076,6
